DATA:,NODE #95,
,,
FROM:,01-05-2019 05:52,
TO:,04-09-2019 05:52,
,,
SENSOR:,Soil moisture,%
VALUE, TIMESTAMP,
0.4,04-06-2019 04:33,
0.4,04-06-2019 04:36,
0.4,04-06-2019 04:41,
0.4,04-06-2019 07:32,
0.4,04-06-2019 07:34,
0.4,04-06-2019 07:39,
0.4,04-06-2019 10:31,
0.4,04-06-2019 10:33,
0.4,04-06-2019 13:29,
0.4,04-06-2019 13:31,
0.4,04-06-2019 13:37,
0.4,04-06-2019 16:28,
0.4,04-06-2019 16:30,
0.4,04-06-2019 16:35,
0.4,04-06-2019 19:26,
0.4,04-06-2019 19:28,
0.2,04-06-2019 22:25,
0.2,04-06-2019 22:27,
0.2,04-06-2019 22:32,
0.2,05-06-2019 01:23,
0.2,05-06-2019 04:22,
0.2,05-06-2019 04:24,
0.2,05-06-2019 04:29,
0.2,05-06-2019 07:21,
0.2,05-06-2019 10:21,
0.2,05-06-2019 10:27,
0.2,05-06-2019 13:18,
0.2,05-06-2019 13:20,
0.2,05-06-2019 13:25,
0.4,05-06-2019 16:16,
0.4,05-06-2019 16:19,
0.4,05-06-2019 19:15,
0.4,05-06-2019 19:17,
0.4,05-06-2019 19:22,
0.2,05-06-2019 22:14,
0.2,05-06-2019 22:16,
0.2,05-06-2019 22:21,
0.2,06-06-2019 01:12,
0.2,06-06-2019 01:15,
0.2,06-06-2019 01:20,
0.2,06-06-2019 04:11,
0.2,06-06-2019 04:13,
0.2,06-06-2019 07:09,
0.2,06-06-2019 10:08,
0.2,06-06-2019 10:10,
0.2,06-06-2019 10:15,
0.2,06-06-2019 13:07,
0.2,06-06-2019 13:09,
0.4,06-06-2019 16:05,
0.4,06-06-2019 16:07,
0.4,06-06-2019 19:04,
0.4,06-06-2019 22:02,
0.2,07-06-2019 01:01,
0.2,07-06-2019 01:03,
0.2,07-06-2019 01:09,
0.2,07-06-2019 04:00,
0.2,07-06-2019 04:02,
0.2,07-06-2019 06:58,
0.2,07-06-2019 09:57,
0.2,07-06-2019 09:59,
0.2,07-06-2019 10:04,
0.2,07-06-2019 12:55,
0.4,07-06-2019 15:54,
0.4,07-06-2019 15:56,
0.4,07-06-2019 16:02,
0.4,07-06-2019 18:53,
0.4,07-06-2019 21:51,
0.4,08-06-2019 00:50,
0.4,08-06-2019 00:52,
0.4,08-06-2019 00:57,
0.2,08-06-2019 03:48,
0.2,08-06-2019 03:51,
0.2,08-06-2019 03:56,
0.2,08-06-2019 06:47,
0.2,08-06-2019 06:49,
0.2,08-06-2019 06:54,
0.2,08-06-2019 09:46,
0.2,08-06-2019 09:48,
0.2,08-06-2019 12:44,
0.2,08-06-2019 12:46,
0.4,08-06-2019 15:43,
0.4,08-06-2019 18:41,
0.4,08-06-2019 18:43,
0.4,08-06-2019 21:41,
0.4,08-06-2019 21:43,
0.4,09-06-2019 00:39,
0.4,09-06-2019 00:42,
0.4,09-06-2019 00:47,
0.2,09-06-2019 03:38,
0.2,09-06-2019 03:40,
0.2,09-06-2019 03:45,
0.2,09-06-2019 06:37,
0.2,09-06-2019 06:39,
0.2,09-06-2019 06:44,
0.2,09-06-2019 09:35,
0.2,09-06-2019 12:34,
0.2,09-06-2019 12:36,
0.4,09-06-2019 15:32,
0.4,09-06-2019 18:31,
0.4,09-06-2019 18:33,
0.4,09-06-2019 18:38,
0.4,10-06-2019 00:29,
0.2,10-06-2019 03:27,
0.2,10-06-2019 06:26,
0.2,10-06-2019 09:24,
0.2,10-06-2019 09:27,
0.2,10-06-2019 09:32,
0.2,10-06-2019 12:23,
0.4,10-06-2019 15:22,
0.4,10-06-2019 18:20,
