DATA:,NODE #93

FROM:,2019-02-14 09:49:36
TO:,2019-09-10 09:49:36

SENSOR:,Soil moisture,%
VALUE, TIMESTAMP
26.5,2019-03-10 20:10:43
24.3,2019-03-10 23:09:21
23.2,2019-03-11 02:07:55
22,2019-03-11 05:06:31
20.6,2019-03-11 08:05:16
20.6,2019-03-11 08:07:26
20.6,2019-03-11 08:12:28
21.4,2019-03-11 11:03:43
25.5,2019-03-11 14:02:26
28.8,2019-03-11 17:00:59
28.8,2019-03-11 17:03:04
26.4,2019-03-11 19:59:30
23.8,2019-03-11 22:58:06
22.6,2019-03-12 01:56:41
20.3,2019-03-12 04:55:19
19.7,2019-03-12 07:53:59
19.7,2019-03-12 07:56:07
19.7,2019-03-12 08:01:12
22.4,2019-03-12 10:52:29
26,2019-03-12 13:51:04
26.9,2019-03-12 16:49:43
24.2,2019-03-12 19:48:16
21.8,2019-03-12 22:46:54
20.4,2019-03-13 01:45:33
20.4,2019-03-13 01:47:38
19.4,2019-03-13 04:44:03
18.7,2019-03-13 07:42:43
18.7,2019-03-13 07:44:50
19.1,2019-03-13 10:41:14
22.7,2019-03-13 13:39:53
24.9,2019-03-13 16:38:27
22.4,2019-03-13 19:37:00
20.8,2019-03-13 22:35:38
19.2,2019-03-14 01:34:12
18.1,2019-03-14 04:32:47
16.8,2019-03-14 07:31:25
18.2,2019-03-14 10:30:03
21.4,2019-03-14 13:28:37
25.6,2019-03-14 16:27:14
23,2019-03-14 19:25:47
20.3,2019-03-14 22:24:30
20.3,2019-03-14 22:26:39
20.3,2019-03-14 22:31:52
18.8,2019-03-15 01:22:57
18.2,2019-03-15 04:21:33
16.8,2019-03-15 07:20:10
17.5,2019-03-15 10:18:50
17.5,2019-03-15 10:20:54
21.7,2019-03-15 13:17:20
27.1,2019-03-15 16:15:57
24.9,2019-03-15 19:14:34
22.3,2019-03-15 22:13:13
20.6,2019-03-16 01:11:45
20.1,2019-03-16 04:10:21
18.5,2019-03-16 07:08:55
18.8,2019-03-16 10:07:35
18.8,2019-03-16 10:09:40
23,2019-03-16 13:06:07
27,2019-03-16 16:04:47
25,2019-03-16 19:03:23
22.7,2019-03-16 22:01:54
20.8,2019-03-17 01:00:32
19.5,2019-03-17 03:59:12
19.5,2019-03-17 04:01:17
19.7,2019-03-17 06:58:03
19.7,2019-03-17 07:00:14
19.7,2019-03-17 07:05:09
19.5,2019-03-17 09:56:17
23.5,2019-03-17 12:54:54
29.4,2019-03-17 15:53:29
27.7,2019-03-17 18:52:10
27.7,2019-03-17 18:54:19
27.7,2019-03-17 18:59:29
24.5,2019-03-17 21:50:40
22.6,2019-03-18 00:49:20
20.6,2019-03-18 03:47:52
20.5,2019-03-18 06:46:28
19.6,2019-03-18 09:45:06
23.5,2019-03-18 12:43:44
28.7,2019-03-18 15:42:29
28.7,2019-03-18 15:44:42
28.7,2019-03-18 15:49:50
28.1,2019-03-18 18:40:49
25.1,2019-03-18 21:39:27
23.3,2019-03-19 00:38:02
21.5,2019-03-19 04:41:01
20.8,2019-03-19 06:35:21
20.8,2019-03-19 06:37:21
20.4,2019-03-19 09:33:49
27.1,2019-03-28 11:53:30
27.4,2019-03-28 11:58:38
27.4,2019-03-28 12:00:42
27.4,2019-03-28 12:01:48
32.6,2019-03-28 15:00:31
32.6,2019-03-28 15:02:33
33.7,2019-03-28 17:59:05
33.7,2019-03-28 18:01:16
33.7,2019-03-28 18:06:24
31.2,2019-03-28 20:57:36
29.4,2019-03-28 23:56:11
27.4,2019-03-29 02:56:51
26,2019-03-29 05:53:22
25.1,2019-03-29 08:51:59
27.8,2019-03-29 11:50:38
27.8,2019-03-29 11:52:43
32.4,2019-03-29 14:49:12
34.2,2019-03-29 17:47:47
31.9,2019-03-29 20:46:22
29.8,2019-03-29 23:44:53
27.9,2019-03-30 02:43:40
27.9,2019-03-30 02:45:40
26.9,2019-03-30 05:42:03
25.9,2019-03-30 08:40:48
28.2,2019-03-30 11:39:16
32.2,2019-03-30 14:38:00
34.6,2019-03-30 17:36:34
34.6,2019-03-30 17:38:42
34.6,2019-03-30 17:43:51
32.3,2019-03-30 20:35:09
32.3,2019-03-30 20:37:12
30,2019-03-30 23:33:39
28.8,2019-03-31 02:32:15
26.9,2019-03-31 05:30:57
26.9,2019-03-31 05:33:01
26.3,2019-03-31 08:29:40
26.3,2019-03-31 08:31:46
26.3,2019-03-31 08:37:17
28.1,2019-03-31 11:28:02
32.6,2019-03-31 14:26:39
35.3,2019-03-31 17:25:15
33.3,2019-03-31 20:23:50
30.6,2019-03-31 23:22:24
28.7,2019-04-01 02:21:03
27.4,2019-04-01 05:19:41
27.4,2019-04-01 05:21:45
26.9,2019-04-01 08:18:11
28.4,2019-04-01 11:16:47
32.8,2019-04-01 14:15:31
32.8,2019-04-01 14:17:37
35.6,2019-04-01 17:14:00
33.2,2019-04-01 20:12:36
30.9,2019-04-01 23:11:12
29,2019-04-02 02:09:48
27.4,2019-04-02 05:08:30
27.4,2019-04-02 05:10:37
27.1,2019-04-02 08:06:59
28.1,2019-04-02 11:05:44
28.1,2019-04-02 11:07:51
32.4,2019-04-02 14:04:12
35.5,2019-04-10 02:49:50
30.4,2019-04-10 05:48:26
29.4,2019-04-10 08:47:01
31.6,2019-04-10 11:45:36
36.5,2019-04-10 14:44:18
38.4,2019-04-10 17:42:49
36.1,2019-04-10 20:41:25
33.6,2019-04-10 23:39:59
32,2019-04-11 02:38:35
30.1,2019-04-11 05:37:10
29.7,2019-04-11 08:35:49
31.8,2019-04-11 11:34:31
31.8,2019-04-11 11:36:36
36.6,2019-04-11 14:32:57
39.3,2019-04-11 17:31:40
39.3,2019-04-11 17:33:47
37.2,2019-04-11 20:30:22
37.2,2019-04-11 20:32:18
34.4,2019-04-11 23:28:46
32,2019-04-12 02:27:20
31.2,2019-04-12 05:25:59
31.2,2019-04-12 05:28:04
30.2,2019-04-12 08:24:33
31.8,2019-04-12 11:23:05
36.5,2019-04-12 14:21:44
43,2019-05-03 11:42:52
43,2019-05-03 11:44:55
38.3,2019-05-03 11:46:21
29.9,2019-05-03 14:45:01
29.9,2019-05-03 14:47:15
29.9,2019-05-03 14:52:29
160.5,2019-06-19 08:33:16
160.5,2019-06-19 08:35:41
160.5,2019-06-19 08:40:44
109.2,2019-06-19 11:31:58
109.2,2019-06-19 11:34:00
109.2,2019-06-19 11:39:08
121.5,2019-06-19 14:30:34
